DialPlanName,Name,Prefix,Tag
cattolica,PSTN,*,PSTN
cattolica,+39022773487,+39022773487,S4B
cattolica,+39022773489,+39022773489,S4B
cattolica,+39022773491,+39022773491,S4B
cattolica,+39022773493,+39022773493,S4B
cattolica,+39022773496,+39022773496,S4B
cattolica,+39022773497,+39022773497,S4B
cattolica,+39022773498,+39022773498,S4B
cattolica,+39022773513,+39022773513,S4B
cattolica,+39022773515,+39022773515,S4B
cattolica,+39022773519,+39022773519,S4B
cattolica,+39022773521,+39022773521,S4B
cattolica,+39022773530,+39022773530,S4B
cattolica,+39022773531,+39022773531,S4B
cattolica,+39022773533,+39022773533,S4B
cattolica,+39022773534,+39022773534,S4B
cattolica,+39022773537,+39022773537,S4B
cattolica,+39022773538,+39022773538,S4B
cattolica,+39022773540,+39022773540,S4B
cattolica,+39022773551,+39022773551,S4B
cattolica,+39022773552,+39022773552,S4B
cattolica,+39022773560,+39022773560,S4B
cattolica,+39022773566,+39022773566,S4B
cattolica,+39022773572,+39022773572,S4B
cattolica,+39022773573,+39022773573,S4B
cattolica,+39022773575,+39022773575,S4B
cattolica,+39022773578,+39022773578,S4B
cattolica,+39022773580,+39022773580,S4B
cattolica,+39022773582,+39022773582,S4B
cattolica,+39022773586,+39022773586,S4B
cattolica,+39022773592,+39022773592,S4B
cattolica,+39022773595,+39022773595,S4B
cattolica,+39022773604,+39022773604,S4B
cattolica,+39022773606,+39022773606,S4B
cattolica,+39022773607,+39022773607,S4B
cattolica,+39022773613,+39022773613,S4B
cattolica,+39022773616,+39022773616,S4B
cattolica,+39022773620,+39022773620,S4B
cattolica,+39022773621,+39022773621,S4B
cattolica,+39022773625,+39022773625,S4B
cattolica,+39022773626,+39022773626,S4B
cattolica,+39022773627,+39022773627,S4B
cattolica,+39022773634,+39022773634,S4B
cattolica,+39022773639,+39022773639,S4B
cattolica,+39022773642,+39022773642,S4B
cattolica,+39022773643,+39022773643,S4B
cattolica,+39022773644,+39022773644,S4B
cattolica,+39022773649,+39022773649,S4B
cattolica,+39022773653,+39022773653,S4B
cattolica,+39022773656,+39022773656,S4B
cattolica,+39022773662,+39022773662,S4B
cattolica,+39022773664,+39022773664,S4B
cattolica,+39022773669,+39022773669,S4B
cattolica,+39022773670,+39022773670,S4B
cattolica,+39022773674,+39022773674,S4B
cattolica,+39022773678,+39022773678,S4B
cattolica,+39022773680,+39022773680,S4B
cattolica,+39022773681,+39022773681,S4B
cattolica,+39022773691,+39022773691,S4B
cattolica,+39022773692,+39022773692,S4B
cattolica,+39022773694,+39022773694,S4B
cattolica,+39022773703,+39022773703,S4B
cattolica,+39022773708,+39022773708,S4B
cattolica,+39022773709,+39022773709,S4B
cattolica,+39022773720,+39022773720,S4B
cattolica,+39022773721,+39022773721,S4B
cattolica,+39022773724,+39022773724,S4B
cattolica,+39022773726,+39022773726,S4B
cattolica,+39022773727,+39022773727,S4B
cattolica,+39022773728,+39022773728,S4B
cattolica,+39022773729,+39022773729,S4B
cattolica,+39022773735,+39022773735,S4B
cattolica,+39022773736,+39022773736,S4B
cattolica,+39022773739,+39022773739,S4B
cattolica,+39022773741,+39022773741,S4B
cattolica,+39022773743,+39022773743,S4B
cattolica,+39022773745,+39022773745,S4B
cattolica,+39022773746,+39022773746,S4B
cattolica,+39022773750,+39022773750,S4B
cattolica,+39022773755,+39022773755,S4B
cattolica,+39022773765,+39022773765,S4B
cattolica,+39022773767,+39022773767,S4B
cattolica,+39022773768,+39022773768,S4B
